rmse,mae,r2,missing rate,metode
5.044,2.786,0.879,5%,ANN
5.225,2.826,0.951,5%,ANN
3.571,1.794,0.716,5%,ANN
3.514,2.116,0.941,5%,ANN
2.996,2.015,0.8,5%,ANN
4.569,2.968,0.836,5%,ANN
3.721,2.39,0.899,5%,ANN
6.757,3.5,0.821,5%,ANN
3.729,2.605,0.933,5%,mean-ANN
4.882,3.46,0.957,5%,mean-ANN
3.429,1.73,0.739,5%,mean-ANN
3.353,1.988,0.946,5%,mean-ANN
2.919,1.925,0.811,5%,mean-ANN
4.429,2.895,0.852,5%,mean-ANN
3.845,2.487,0.892,5%,mean-ANN
6.418,3.374,0.838,5%,mean-ANN
3.361,2.003,0.946,5%,MRDI
5.334,2.109,0.949,5%,MRDI
2.892,1.683,0.814,5%,MRDI
3.468,1.998,0.943,5%,MRDI
2.608,1.699,0.849,5%,MRDI
4.012,2.375,0.879,5%,MRDI
3.814,2.348,0.894,5%,MRDI
6.287,3.248,0.845,5%,MRDI
4.182,2.395,0.877,10%,ANN
5.48,3.764,0.9,10%,ANN
5.279,2.678,0.926,10%,ANN
4.101,2.361,0.882,10%,ANN
4.795,2.304,0.821,10%,ANN
5.202,3.167,0.811,10%,ANN
3.685,2.09,0.917,10%,ANN
6.066,3.105,0.77,10%,ANN
4.331,2.78,0.868,10%,mean-ANN
5.241,3.463,0.909,10%,mean-ANN
6.413,3.286,0.891,10%,mean-ANN
4.058,2.269,0.884,10%,mean-ANN
4.864,2.351,0.816,10%,mean-ANN
5.163,3.051,0.813,10%,mean-ANN
3.638,1.92,0.919,10%,mean-ANN
5.868,3.021,0.785,10%,mean-ANN
3.85,2.218,0.896,10%,MRDI
5.672,2.856,0.893,10%,MRDI
5.381,2.44,0.923,10%,MRDI
3.918,2.27,0.892,10%,MRDI
4.468,2.215,0.832,10%,MRDI
4.961,2.822,0.828,10%,MRDI
4.539,2.183,0.875,10%,MRDI
5.459,2.787,0.81,10%,MRDI
4.453,2.714,0.843,20%,ANN
6.785,3.305,0.821,20%,ANN
4.33,2.552,0.918,20%,ANN
4.361,2.405,0.849,20%,ANN
6.604,3.511,0.852,20%,ANN
6.981,3.324,0.846,20%,ANN
6.424,3.58,0.851,20%,ANN
7.518,3.405,0.809,20%,ANN
7.195,3.892,0.799,20%,mean-ANN
3.997,2.399,0.873,20%,mean-ANN
5.284,2.99,0.878,20%,mean-ANN
4.267,2.331,0.856,20%,mean-ANN
6.158,3.076,0.852,20%,mean-ANN
6.348,3.813,0.856,20%,mean-ANN
6.265,3.392,0.851,20%,mean-ANN
7.579,3.346,0.825,20%,mean-ANN
4.25,2.251,0.857,20%,MRDI
6.091,2.765,0.868,20%,MRDI
4.696,2.372,0.874,20%,MRDI
4.276,2.248,0.858,20%,MRDI
6.298,3.104,0.849,20%,MRDI
4.677,2.341,0.882,20%,MRDI
6.072,2.708,0.869,20%,MRDI
5.984,3.212,0.862,20%,MRDI
5.952,3.16,0.787,30%,ANN
6.729,3.432,0.809,30%,ANN
5.129,2.876,0.856,30%,ANN
5.696,2.86,0.859,30%,ANN
6.626,3.237,0.814,30%,ANN
5.58,2.783,0.799,30%,ANN
6.432,3.047,0.832,30%,ANN
6.122,3.177,0.852,30%,ANN
5.893,2.948,0.791,30%,mean-ANN
6.833,3.641,0.803,30%,mean-ANN
4.84,2.653,0.872,30%,mean-ANN
5.715,2.67,0.858,30%,mean-ANN
6.659,3.203,0.812,30%,mean-ANN
5.505,2.764,0.804,30%,mean-ANN
6.293,2.912,0.839,30%,mean-ANN
6.135,3.118,0.851,30%,mean-ANN
5.415,2.572,0.823,30%,MRDI
6.631,3.234,0.814,30%,MRDI
5.043,2.619,0.861,30%,MRDI
5.568,2.562,0.868,30%,MRDI
6.585,3.236,0.817,30%,MRDI
5.359,3.16,0.815,30%,MRDI
6.304,3.488,0.839,30%,MRDI
5.936,2.898,0.861,30%,MRDI
7.363,3.93,0.774,40%,ANN
6.927,3.501,0.751,40%,ANN
6.534,3.426,0.779,40%,ANN
6.857,3.303,0.815,40%,ANN
6.305,3.166,0.795,40%,ANN
5.309,2.606,0.836,40%,ANN
4.664,2.446,0.799,40%,ANN
5.663,3.156,0.791,40%,ANN
7.881,4.531,0.742,40%,mean-ANN
6.953,3.584,0.749,40%,mean-ANN
6.405,3.187,0.788,40%,mean-ANN
6.646,3.153,0.816,40%,mean-ANN
6.277,3.08,0.796,40%,mean-ANN
5.087,2.494,0.849,40%,mean-ANN
4.67,2.341,0.799,40%,mean-ANN
5.647,3.079,0.792,40%,mean-ANN
6.454,3.141,0.826,40%,MRDI
6.426,3.083,0.786,40%,MRDI
6.346,3.066,0.792,40%,MRDI
6.565,3.971,0.821,40%,MRDI
6.241,3.07,0.8,40%,MRDI
5.037,2.559,0.852,40%,MRDI
4.614,2.526,0.804,40%,MRDI
5.686,2.776,0.79,40%,MRDI
